iter	Logloss
0	0.6898821259
1	0.687044838
2	0.6843240204
3	0.6820388565
4	0.6800516205
5	0.6780568085
6	0.6763334503
7	0.6747887192
8	0.6734137192
9	0.6720211639
10	0.670840126
11	0.6697991104
12	0.6688428802
13	0.6680092926
14	0.6673241959
15	0.666654335
16	0.6659778976
17	0.6653815155
18	0.6648662872
19	0.664408905
20	0.6639282227
21	0.6634340286
22	0.6630547256
23	0.6626908875
24	0.6623188477
25	0.6620828781
26	0.6617207642
27	0.6613848267
28	0.6611728363
29	0.6609870453
30	0.6607494583
31	0.6605425262
32	0.6603093262
33	0.660100296
34	0.6600075226
35	0.6598501282
36	0.6597370224
37	0.6596158524
38	0.659493103
39	0.6593914413
40	0.6592165298
41	0.6591580505
42	0.6590345535
43	0.6589243927
44	0.658805275
45	0.6587690735
46	0.6587106171
47	0.6586212616
48	0.658549469
49	0.6584872513
50	0.65838797
51	0.6583461304
52	0.6582906418
53	0.658226265
54	0.6581935043
55	0.6581211166
56	0.6580706406
57	0.6580155182
58	0.6579556656
59	0.6578821869
60	0.6578368607
61	0.6577984314
62	0.6577406311
63	0.6576669998
64	0.6576279755
65	0.6575720901
66	0.6575485153
67	0.6574960403
68	0.657465744
69	0.6574467621
70	0.6573887787
71	0.657371315
72	0.6573367844
73	0.6573107147
74	0.6573077164
75	0.6572337112
76	0.6572105713
77	0.6571931534
78	0.6571912918
79	0.6571571808
80	0.6571330719
81	0.6571015854
82	0.6570413437
83	0.6570195389
84	0.6569791336
85	0.6569518356
86	0.6569388962
87	0.6569241943
88	0.6569115295
89	0.6568948364
90	0.6568875198
91	0.6568621826
92	0.6568580093
93	0.6568169937
94	0.6568138351
95	0.6567977676
96	0.6567648697
97	0.6567525787
98	0.6567280426
99	0.6566716003
100	0.6566620483
101	0.6566380997
102	0.6566053391
103	0.6565891647
104	0.6565632248
105	0.6565143738
106	0.6564937057
107	0.6564639816
108	0.656450386
109	0.6564169159
110	0.6564142303
111	0.6563870087
112	0.6563871613
113	0.6563806305
114	0.6563576202
115	0.6562854233
116	0.6562454605
117	0.6562207108
118	0.6561999435
119	0.6561838608
120	0.6561772842
121	0.6561615295
122	0.656137413
123	0.6560950699
124	0.6560885544
125	0.6560534058
126	0.6560528946
127	0.6560523834
128	0.6560177307
129	0.656009552
130	0.6559845734
131	0.6559697571
132	0.6559544678
133	0.6559194641
134	0.6558639679
135	0.6558458405
136	0.6558380585
137	0.6558372421
138	0.6558156509
139	0.6558156128
140	0.6558047256
141	0.6557993317
142	0.6557959747
143	0.6557913666
144	0.65578936
145	0.6557846603
146	0.6557831192
147	0.6557661514
148	0.655736908
149	0.6557345505
150	0.6557213898
151	0.655684021
152	0.6556700821
153	0.6556364365
154	0.6556358337
155	0.6556239853
156	0.6555989914
157	0.655595665
158	0.6555874252
159	0.6555656204
160	0.6555249557
161	0.6555150757
162	0.6554989624
163	0.6554808655
164	0.65542276
165	0.655419281
166	0.6553894196
167	0.6553519211
168	0.6553177032
169	0.655289917
170	0.655276413
171	0.6552266541
172	0.6551979294
173	0.6551917877
174	0.6551718674
175	0.6551461868
176	0.6551138611
177	0.6550875473
178	0.6550830002
179	0.6550619659
180	0.6550400085
181	0.655024971
182	0.6550008774
183	0.6549864426
184	0.6549291229
185	0.654873085
186	0.6548562393
187	0.6548122787
188	0.6548028107
189	0.6547722168
190	0.6547519302
191	0.6547314911
192	0.6547286072
193	0.6546806564
194	0.6546324768
195	0.6545972137
196	0.6545849228
197	0.6545598526
198	0.6545485306
199	0.6545239105
200	0.6544994049
201	0.6544576721
202	0.6544377594
203	0.6543965683
204	0.6543523865
205	0.6542809753
206	0.6542647476
207	0.654247467
208	0.6542152176
209	0.6541852036
210	0.6541557159
211	0.6540967331
212	0.6540196762
213	0.6539765778
214	0.653922226
215	0.6538790054
216	0.6538790665
217	0.6538232956
218	0.6537747269
219	0.6537526932
220	0.6536993103
221	0.6536743698
222	0.6536533661
223	0.6536242218
224	0.653576683
225	0.6535277252
226	0.6534914474
227	0.6534619217
228	0.6533912811
229	0.6533413391
230	0.6532898331
231	0.6532675171
232	0.6532038651
233	0.6531736832
234	0.65313871
235	0.6530956497
236	0.653041832
237	0.6529923172
238	0.6529659424
239	0.6529429855
240	0.6529027939
241	0.6528708954
242	0.6528171844
243	0.6527782059
244	0.6527028961
245	0.6526846085
246	0.6526248093
247	0.6525937958
248	0.6525682144
249	0.6525325546
250	0.6524933701
251	0.6524313583
252	0.6523343277
253	0.6522555847
254	0.6522267685
255	0.6521932678
256	0.6521353226
257	0.6521179428
258	0.6520627365
259	0.6520100403
260	0.6519815903
261	0.6519277039
262	0.651904892
263	0.6518666077
264	0.651837532
265	0.6517942581
266	0.6517207642
267	0.6516560593
268	0.6516411819
269	0.6516184769
270	0.6515775604
271	0.6515327835
272	0.6514580002
273	0.6513739853
274	0.6513278046
275	0.6513073273
276	0.6512884674
277	0.6512525101
278	0.6512325134
279	0.6512087631
280	0.6511816177
281	0.6511595917
282	0.6511341705
283	0.6510700226
284	0.6510011597
285	0.6509330215
286	0.6508718262
287	0.6508432999
288	0.6507753906
289	0.6507492371
290	0.6506947556
291	0.650625824
292	0.6505893936
293	0.6505473557
294	0.6505284576
295	0.6504634323
296	0.6504289093
297	0.6503810806
298	0.6503257904
299	0.6502548981
