iter	Passed	Remaining
0	141	42276
1	147	22044
2	154	15268
3	161	11982
4	168	9959
5	175	8592
6	182	7641
7	189	6906
8	195	6337
9	201	5854
10	208	5486
11	215	5168
12	222	4914
13	229	4685
14	235	4467
15	240	4263
16	246	4098
17	254	3981
18	258	3823
19	263	3693
20	271	3603
21	277	3502
22	284	3432
23	292	3360
24	299	3290
25	305	3220
26	311	3147
27	316	3078
28	321	3008
29	326	2941
30	331	2880
31	338	2831
32	343	2779
33	348	2724
34	352	2669
35	357	2623
36	361	2570
37	367	2531
38	372	2491
39	376	2449
40	382	2416
41	387	2381
42	392	2345
43	398	2316
44	403	2287
45	407	2248
46	412	2220
47	417	2193
48	422	2164
49	427	2137
50	432	2113
51	437	2085
52	442	2063
53	448	2043
54	452	2015
55	457	1991
56	462	1971
57	467	1950
58	472	1928
59	477	1911
60	482	1890
61	487	1873
62	493	1857
63	499	1842
64	505	1826
65	510	1810
66	514	1790
67	520	1775
68	525	1759
69	530	1741
70	535	1727
71	539	1709
72	545	1695
73	550	1681
74	555	1665
75	561	1654
76	571	1655
77	578	1647
78	589	1649
79	598	1646
80	603	1632
81	609	1619
82	615	1608
83	620	1595
84	625	1583
85	631	1571
86	636	1559
87	642	1547
88	647	1534
89	654	1527
90	658	1511
91	663	1499
92	666	1484
93	671	1472
94	675	1457
95	681	1448
96	688	1440
97	692	1427
98	696	1415
99	701	1403
100	706	1391
101	710	1378
102	714	1366
103	718	1354
104	723	1343
105	727	1332
106	732	1320
107	735	1308
108	741	1299
109	746	1289
110	750	1278
111	755	1268
112	758	1255
113	763	1246
114	768	1235
115	773	1226
116	777	1216
117	782	1206
118	787	1197
119	791	1187
120	795	1176
121	799	1166
122	804	1157
123	808	1147
124	812	1137
125	817	1128
126	820	1117
127	823	1107
128	828	1098
129	833	1089
130	837	1080
131	842	1072
132	847	1064
133	852	1056
134	857	1048
135	861	1039
136	865	1030
137	869	1020
138	873	1011
139	876	1001
140	880	993
141	885	985
142	890	977
143	894	969
144	898	960
145	902	952
146	905	942
147	910	935
148	914	926
149	918	918
150	922	910
151	927	903
152	932	895
153	936	888
154	940	879
155	945	872
156	950	865
157	954	858
158	959	851
159	964	843
160	970	838
161	977	832
162	982	826
163	988	819
164	996	815
165	1001	808
166	1007	802
167	1013	796
168	1019	790
169	1025	784
170	1032	778
171	1038	773
172	1045	767
173	1051	761
174	1056	754
175	1062	748
176	1068	742
177	1072	735
178	1078	728
179	1083	722
180	1088	715
181	1094	709
182	1099	703
183	1105	697
184	1111	690
185	1116	684
186	1121	677
187	1126	671
188	1132	664
189	1137	658
190	1142	652
191	1147	645
192	1152	638
193	1157	632
194	1162	625
195	1167	619
196	1172	612
197	1177	606
198	1182	599
199	1186	593
200	1192	587
201	1197	580
202	1201	574
203	1207	568
204	1212	561
205	1217	555
206	1223	549
207	1229	544
208	1235	537
209	1240	531
210	1245	525
211	1250	518
212	1256	513
213	1261	506
214	1266	500
215	1270	494
216	1273	487
217	1278	480
218	1283	474
219	1288	468
220	1293	462
221	1298	456
222	1302	449
223	1307	443
224	1311	437
225	1317	431
226	1322	425
227	1326	418
228	1331	412
229	1336	406
230	1340	400
231	1345	394
232	1350	388
233	1355	382
234	1359	376
235	1364	370
236	1369	364
237	1373	357
238	1378	351
239	1383	345
240	1387	339
241	1392	333
242	1396	327
243	1401	321
244	1405	315
245	1410	309
246	1415	303
247	1419	297
248	1423	291
249	1428	285
250	1433	279
251	1438	273
252	1442	267
253	1447	262
254	1451	256
255	1456	250
256	1461	244
257	1465	238
258	1470	232
259	1475	226
260	1479	221
261	1484	215
262	1489	209
263	1494	203
264	1498	197
265	1503	192
266	1507	186
267	1512	180
268	1517	174
269	1521	169
270	1526	163
271	1532	157
272	1537	152
273	1542	146
274	1548	140
275	1553	135
276	1558	129
277	1564	123
278	1568	118
279	1573	112
280	1578	106
281	1582	101
282	1587	95
283	1592	89
284	1598	84
285	1604	78
286	1610	72
287	1616	67
288	1621	61
289	1627	56
290	1632	50
291	1638	44
292	1645	39
293	1652	33
294	1659	28
295	1665	22
296	1671	16
297	1678	11
298	1685	5
299	1692	0
