product_id,region_id,material_id,material_name,material_type,base_co2,base_cost,base_sustainability,risk_of_damage_score,co2_multiplier,cost_multiplier,availability_score,grid_co2_kg_per_kwh,recycling_infra_score,waste_mgmt_score,avg_transport_emission_g_per_ton_km,eco_preference_score,price_sensitivity_score,premium_preference_score,region_adjusted_co2,region_adjusted_cost,final_score
4,4,5,Bamboo Fiber,Natural Fiber,1.361,64.19,90.8,2.3,0.99,1.3333333333333333,3.33465395096781,0.9,3.0,4.0,135.0,6.0,8.0,3.0,1.34739,85.58666666666667,85.32663307449471
5,1,5,Bamboo Fiber,Natural Fiber,1.357,153.71,92.0,1.2,0.858,1.2,5.10263219543282,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.164306,184.452,81.11341963451939
6,1,7,Aluminum,Metal,1.378,167.08,89.8,3.2,0.858,1.2,6.27735711838077,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.182324,200.496,75.64990254205692
14,2,3,PLA Bioplastic,Biopolymer,2.308,28.23,80.4,6.0,0.932,1.25,5.20721959316178,0.88,4.0,5.0,130.0,7.0,8.0,3.0,2.151056,35.2875,81.07607951179413
18,3,5,Bamboo Fiber,Natural Fiber,2.098,122.3,76.5,8.3,0.812,1.1666666666666667,5.63428100856243,0.78,6.0,6.0,110.0,7.0,7.0,4.0,1.703576,142.68333333333334,61.27010654360825
39,2,4,PET Recycled Plastic,Plastic,3.755,206.56,63.9,9.7,0.932,1.25,4.97074973405945,0.88,4.0,5.0,130.0,7.0,8.0,3.0,3.4964912,257.8671,22.16340968087134
47,5,1,Recycled Paper,Fiber,2.783,102.6,70.1,6.9,0.564,1.525,7.99874607025535,0.41,8.0,8.0,80.0,9.0,6.0,5.0,1.569612,156.465,63.78827728430642
59,4,4,PET Recycled Plastic,Plastic,0.234,28.07,79.1,8.0,0.99,1.3333333333333333,4.10610209518805,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.23166,37.42666666666667,77.091565847559
61,2,4,PET Recycled Plastic,Plastic,2.132,105.01,83.9,4.2,0.932,1.25,4.97074973405945,0.88,4.0,5.0,130.0,7.0,8.0,3.0,1.987024,131.2625,71.34236368087134
65,1,8,Compostable Bagasse,Biomass,0.714,24.23,93.0,1.8,0.858,1.2,5.12995506387494,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.612612,29.076,104.00638807664993
67,1,10,Stainless Steel,Metal,2.13,115.99,83.2,1.9,0.858,1.2,6.13346316512829,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.82754,139.188,78.05252579815395
77,1,2,Cardboard,Fiber,0.399,24.1,94.6,1.7,0.858,1.2,5.86572650085232,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.342342,28.92,107.03655880102278
79,4,4,PET Recycled Plastic,Plastic,0.947,98.65,86.7,2.7,0.99,1.3333333333333333,4.10610209518805,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.93753,131.53333333333333,74.93569418089233
82,1,1,Recycled Paper,Fiber,0.255,14.81,97.6,2.8,0.858,1.2,6.08685556513289,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.21879,17.772,110.72796167815947
83,5,8,Compostable Bagasse,Biomass,5.115,55.95,57.4,8.4,0.564,1.525,7.79461428485717,0.41,8.0,8.0,80.0,9.0,6.0,5.0,2.88486,85.32375,55.607397141828606
86,2,7,Aluminum,Metal,0.611,17.84,93.8,1.6,0.932,1.25,3.96220984166807,0.88,4.0,5.0,130.0,7.0,8.0,3.0,0.569452,22.3,102.71247381000168
88,5,2,Cardboard,Fiber,0.369,168.22,80.9,9.0,0.564,1.525,7.21122688362196,0.41,8.0,8.0,80.0,9.0,6.0,5.0,0.208116,256.5355,61.157038260346354
89,2,3,PLA Bioplastic,Biopolymer,3.738,149.81,72.0,5.5,0.932,1.25,5.20721959316178,0.88,4.0,5.0,130.0,7.0,8.0,3.0,3.483816,187.2625,46.96093951179414
94,2,1,Recycled Paper,Fiber,0.323,37.66,87.0,8.1,0.932,1.25,4.6184611451816,0.88,4.0,5.0,130.0,7.0,8.0,3.0,0.301036,47.075,85.33859937421792
95,1,2,Cardboard,Fiber,0.01,7.99,88.4,6.9,0.858,1.2,5.86572650085232,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.04848720000000001,11.224799999999998,97.80368180102279
96,4,3,PLA Bioplastic,Biopolymer,0.237,46.66,84.5,6.9,0.99,1.3333333333333333,3.79768783232377,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.23463,62.21333333333333,79.47114706545518
