product_id,region_id,material_id,material_name,material_type,base_co2,base_cost,base_sustainability,risk_of_damage_score,co2_multiplier,cost_multiplier,availability_score,grid_co2_kg_per_kwh,recycling_infra_score,waste_mgmt_score,avg_transport_emission_g_per_ton_km,eco_preference_score,price_sensitivity_score,premium_preference_score,region_adjusted_co2,region_adjusted_cost,final_score,co2_impact_index,cost_efficiency_index,material_suitability_score,carbon_cost_ratio,region_pressure_score,material_complexity
4,4,5,Bamboo Fiber,Natural Fiber,1.361,64.19,90.8,2.3,0.99,1.3333333333333333,3.33465395096781,0.9,3.0,4.0,135.0,6.0,8.0,3.0,1.34739,85.58666666666667,85.32663307449471,0.561644244086827,0.10660090648827249,0.7240107260812246,0.015742989562053167,0.2400000006122449,0.15
5,1,5,Bamboo Fiber,Natural Fiber,1.357,153.71,92.0,1.2,0.858,1.2,5.10263219543282,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.164306,184.452,81.11341963451939,0.5881935172238218,0.03290315900771437,0.8300526439086564,0.006312243835760458,0.4289795923490213,0.15
6,1,7,Aluminum,Metal,1.378,167.08,89.8,3.2,0.858,1.2,6.27735711838077,0.82,5.0,6.0,120.0,8.0,7.0,4.0,1.182324,200.496,75.64990254205692,0.5855807012301666,0.026231938281865104,0.79768831884374,0.005896995451251412,0.4289795923490213,0.15
14,2,3,PLA Bioplastic,Biopolymer,2.308,28.23,80.4,6.0,0.932,1.25,5.20721959316178,0.88,4.0,5.0,130.0,7.0,8.0,3.0,2.151056,35.2875,81.07607951179413,0.4451034860472599,0.26622013567199276,0.6528032154059347,0.060958016292994466,0.32224489854643906,0.15
18,3,5,Bamboo Fiber,Natural Fiber,2.098,122.3,76.5,8.3,0.812,1.1666666666666667,5.63428100856243,0.78,6.0,6.0,110.0,7.0,7.0,4.0,1.703576,142.68333333333334,61.27010654360825,0.5099932019336424,0.03780345373668271,0.5916267966614909,0.011939558462712723,0.4934693882174094,0.15
39,2,4,PET Recycled Plastic,Plastic,3.755,206.56,63.9,9.7,0.932,1.25,4.97074973405945,0.88,4.0,5.0,130.0,7.0,8.0,3.0,3.4964912,257.8671,22.16340968087134,0.25000000014501145,0.0,0.49501499470471844,0.013559276076655148,0.32224489854643906,0.15
47,5,1,Recycled Paper,Fiber,2.783,102.6,70.1,6.9,0.564,1.525,7.99874607025535,0.41,8.0,8.0,80.0,9.0,6.0,5.0,1.569612,156.465,63.78827728430642,0.5294195134984125,0.026249543379833915,0.686257274362062,0.010031713162624026,0.8600000000000001,0.15
59,4,4,PET Recycled Plastic,Plastic,0.234,28.07,79.1,8.0,0.99,1.3333333333333333,4.10610209518805,0.9,3.0,4.0,135.0,6.0,8.0,3.0,0.23166,37.42666666666667,77.091565847559,0.723437849847785,0.2445933446982915,0.5585220419225846,0.00618970431048656,0.2400000006122449,0.15
61,2,4,PET Recycled Plastic,Plastic,2.132,105.01,83.9,4.2,0.932,1.25,4.97074973405945,0.88,4.0,5.0,130.0,7.0,8.0,3.0,1.987024,131.2625,71.34236368087134,0.46889000136922987,0.05131028126642746,0.7044267593953759,0.015137788781905437,0.32224489854643906,0.15
65,1,8,Compostable Bagasse,Biomass,0.714,24.23,93.0,1.8,0.858,1.2,5.12995506387494,0.82,5.0,6.0,120.0,8.0,7.0,4.0,0.612612,29.076,104.00638807664993,0.6681954545533603,0.38684589278033005,0.8204814542203364,0.021069335533736782,0.4289795923490213,0.15
